Channel,Date,New fans,Region,Fans
Instagram,7/12/2014 0:00,0,Australia,17021
Instagram,7/12/2014 0:00,0,India,13601
Instagram,7/12/2014 0:00,0,Indonesia,36579
Instagram,7/12/2014 0:00,0,Malaysia,7483
Instagram,7/12/2014 0:00,0,New Zealand,1626
Instagram,7/12/2014 0:00,0,Singapore,4025
Twitter,7/12/2014 0:00,0,Australia,4612
Twitter,7/12/2014 0:00,0,India,9726
Twitter,7/12/2014 0:00,0,Indonesia,104178
Twitter,7/12/2014 0:00,0,Malaysia,4466
Twitter,7/12/2014 0:00,0,New Zealand,4862
Twitter,7/12/2014 0:00,0,Philippines,2550
Twitter,7/12/2014 0:00,0,Singapore,217
Facebook,8/12/2014 0:00,0,Australia,111380
Facebook,8/12/2014 0:00,0,India,337694
Facebook,8/12/2014 0:00,0,Indonesia,288741
Facebook,8/12/2014 0:00,0,Malaysia,210256
Facebook,8/12/2014 0:00,0,New Zealand,27565
Facebook,8/12/2014 0:00,0,Philippines,50355
Facebook,8/12/2014 0:00,0,Singapore,86369
Instagram,8/12/2014 0:00,0,Australia,17021
Instagram,8/12/2014 0:00,0,India,13601
Instagram,8/12/2014 0:00,0,Indonesia,36579
Instagram,8/12/2014 0:00,0,Malaysia,7483
Instagram,8/12/2014 0:00,0,New Zealand,1626
Instagram,8/12/2014 0:00,0,Singapore,4025
Twitter,8/12/2014 0:00,0,Australia,4612
Twitter,8/12/2014 0:00,0,India,9726
Twitter,8/12/2014 0:00,0,Indonesia,104178
Twitter,8/12/2014 0:00,0,Malaysia,4466
Twitter,8/12/2014 0:00,0,New Zealand,4862
Twitter,8/12/2014 0:00,0,Philippines,2550
Twitter,8/12/2014 0:00,0,Singapore,217
Facebook,9/12/2014 0:00,0,Australia,111380
Facebook,9/12/2014 0:00,0,India,337694
Facebook,9/12/2014 0:00,0,Indonesia,288741
Facebook,9/12/2014 0:00,0,Malaysia,210256
Facebook,9/12/2014 0:00,0,New Zealand,27565
Facebook,9/12/2014 0:00,0,Philippines,50355
Facebook,9/12/2014 0:00,0,Singapore,86369
Instagram,9/12/2014 0:00,0,Australia,17021
Instagram,9/12/2014 0:00,0,India,13601
Instagram,9/12/2014 0:00,0,Indonesia,36579
Instagram,9/12/2014 0:00,0,Malaysia,7483
Instagram,9/12/2014 0:00,0,New Zealand,1626
Instagram,9/12/2014 0:00,0,Singapore,4025
Twitter,9/12/2014 0:00,0,Australia,4612
Twitter,9/12/2014 0:00,0,India,9726
Twitter,9/12/2014 0:00,0,Indonesia,104178
Twitter,9/12/2014 0:00,0,Malaysia,4466
Twitter,9/12/2014 0:00,0,New Zealand,4862
Twitter,9/12/2014 0:00,0,Philippines,2550
Twitter,9/12/2014 0:00,0,Singapore,217
Facebook,10/12/2014 0:00,0,Australia,111380
Facebook,10/12/2014 0:00,0,India,337694
Facebook,10/12/2014 0:00,0,Indonesia,288741
Facebook,10/12/2014 0:00,0,Malaysia,210256
Facebook,10/12/2014 0:00,0,New Zealand,27565
Facebook,10/12/2014 0:00,0,Philippines,50355
Facebook,10/12/2014 0:00,0,Singapore,86369
Instagram,10/12/2014 0:00,0,Australia,17021
Instagram,10/12/2014 0:00,0,India,13601
Instagram,10/12/2014 0:00,0,Indonesia,36579
Instagram,10/12/2014 0:00,0,Malaysia,7483
Instagram,10/12/2014 0:00,0,New Zealand,1626
Instagram,10/12/2014 0:00,0,Singapore,4025
Twitter,10/12/2014 0:00,0,Australia,4612
Twitter,10/12/2014 0:00,0,India,9726
Twitter,10/12/2014 0:00,0,Indonesia,104178
Twitter,10/12/2014 0:00,0,Malaysia,4466
Twitter,10/12/2014 0:00,0,New Zealand,4862
Twitter,10/12/2014 0:00,0,Philippines,2550
Twitter,10/12/2014 0:00,0,Singapore,217
Facebook,11/12/2014 0:00,0,Australia,111380
Facebook,11/12/2014 0:00,0,India,337694
Facebook,11/12/2014 0:00,0,Indonesia,288741
Facebook,11/12/2014 0:00,0,Malaysia,210256
Facebook,11/12/2014 0:00,0,New Zealand,27565
Facebook,11/12/2014 0:00,0,Philippines,50355
Facebook,11/12/2014 0:00,0,Singapore,86369
Instagram,11/12/2014 0:00,0,Australia,17021
Instagram,11/12/2014 0:00,0,India,13601
Instagram,11/12/2014 0:00,0,Indonesia,36579
Instagram,11/12/2014 0:00,0,Malaysia,7483
Instagram,11/12/2014 0:00,0,New Zealand,1626
Instagram,11/12/2014 0:00,0,Singapore,4025
Twitter,11/12/2014 0:00,0,Australia,4612
Twitter,11/12/2014 0:00,0,India,9726
Twitter,11/12/2014 0:00,0,Indonesia,104178
Twitter,11/12/2014 0:00,0,Malaysia,4466
Twitter,11/12/2014 0:00,0,New Zealand,4862
Twitter,11/12/2014 0:00,0,Philippines,2550
Twitter,11/12/2014 0:00,0,Singapore,217
Facebook,12/12/2014 0:00,0,Australia,111380
Facebook,12/12/2014 0:00,0,India,337694
Facebook,12/12/2014 0:00,0,Indonesia,288741
Facebook,12/12/2014 0:00,0,Malaysia,210256
Facebook,12/12/2014 0:00,0,New Zealand,27565
Facebook,12/12/2014 0:00,0,Philippines,50355
Facebook,12/12/2014 0:00,0,Singapore,86369
Instagram,12/12/2014 0:00,0,Australia,17021
Instagram,12/12/2014 0:00,0,India,13601
Instagram,12/12/2014 0:00,0,Indonesia,36579
Instagram,12/12/2014 0:00,0,Malaysia,7483
Instagram,12/12/2014 0:00,0,New Zealand,1626
Instagram,12/12/2014 0:00,0,Singapore,4025
Twitter,12/12/2014 0:00,0,Australia,4612
Twitter,12/12/2014 0:00,0,India,9726
Twitter,12/12/2014 0:00,0,Indonesia,104178
Twitter,12/12/2014 0:00,0,Malaysia,4466
Twitter,12/12/2014 0:00,0,New Zealand,4862
Twitter,12/12/2014 0:00,0,Philippines,2550
Twitter,12/12/2014 0:00,0,Singapore,217
Facebook,13/12/2014 0:00,0,Australia,111380
Facebook,13/12/2014 0:00,0,India,337694
Facebook,13/12/2014 0:00,0,Indonesia,288741
Facebook,13/12/2014 0:00,0,Malaysia,210256
Facebook,13/12/2014 0:00,0,New Zealand,27565
Facebook,13/12/2014 0:00,0,Philippines,50355
Facebook,13/12/2014 0:00,0,Singapore,86369
Instagram,13/12/2014 0:00,0,Australia,17021
Instagram,13/12/2014 0:00,0,India,13601
Instagram,13/12/2014 0:00,0,Indonesia,36579
Instagram,13/12/2014 0:00,0,Malaysia,7483
Instagram,13/12/2014 0:00,0,New Zealand,1626
Instagram,13/12/2014 0:00,0,Singapore,4025
Twitter,13/12/2014 0:00,0,Australia,4612
Twitter,13/12/2014 0:00,0,India,9726
Twitter,13/12/2014 0:00,0,Indonesia,104178
Twitter,13/12/2014 0:00,0,Malaysia,4466
Twitter,13/12/2014 0:00,0,New Zealand,4862
Twitter,13/12/2014 0:00,0,Philippines,2550
