Serial|Year|Award|Winner|Film|Names,,,,,,,,,,,
1597|1951|Actress|0|Detective Story|Eleanor Parker,,,,,,,,,,,
1598|1951|Actress in a Supporting Role|0|Detective Story|Lee Grant,,,,,,,,,,,
1599|1951|Directing|0|Detective Story |William Wyler,,,,,,,,,,,
1600|1951|Writing (Screenplay)|0|Detective Story |Philip Yordan, Robert Wyler,,,,,,,,,,
1601|1952|Documentary (Short Subject)|0|Devil Take Us |Herbert Morgan, Producer,,,,,,,,,,
1602|1952|Short Subject (Two Reel)|0|Devil Take Us |Herbert Morgan, Producer,,,,,,,,,,
1603|1971|Sound|0|Diamonds Are Forever |Gordon K. McCallum, John Mitchell, Alfred J. Overton,,,,,,,,,
1604|1970|Actress|0|Diary of a Mad Housewife|Carrie Snodgress,,,,,,,,,,,
1605|2011|Honorary Award|1|Dick Smith|,,,,,,,,,,,
1606|1990|Actor in a Supporting Role|0|Dick Tracy|Al Pacino,,,,,,,,,,,
1607|1990|Art Direction|1|Dick Tracy |Art Direction: Richard Sylbert; Set Decoration: Rick Simpson,,,,,,,,,,,
1608|1990|Cinematography|0|Dick Tracy |Vittorio Storaro,,,,,,,,,,,
1609|1990|Costume Design|0|Dick Tracy |Milena Canonero,,,,,,,,,,,
1610|1990|Makeup|1|Dick Tracy |John Caglione, Jr., Doug Drexler,,,,,,,,,
1611|1990|Sound|0|Dick Tracy |Chris Jenkins, David E. Campbell, D. M. Hemphill, Thomas Causey,,,,,,,,
1612|1988|Film Editing|0|Die Hard |Frank J. Urioste, John F. Link,,,,,,,,,,
1613|1988|Sound|0|Die Hard |Don Bassman, Kevin F. Cleary, Richard Overton, Al Overton,,,,,,,,
1614|1988|Sound Effects Editing|0|Die Hard |Stephen H. Flick, Richard Shorr,,,,,,,,,,
1615|1988|Visual Effects|0|Die Hard |Richard Edlund, Al DiSarro, Brent Boates, Thaine Morris,,,,,,,,
1616|2003|Short Film (Live Action)|0|Die Rote Jacke (The Red Jacket) |Florian Baxmeyer,,,,,,,,,,,
1617|2011|Short Film (Animated)|0|Dimanche/Sunday |Patrick Doyon,,,,,,,,,,,
1618|1982|Writing (Screenplay Written Directly for the Screen)|0|Diner |Barry Levinson,,,,,,,,,,,
1619|2000|Irving G. Thalberg Memorial Award|1|Dino De Laurentiis|,,,,,,,,,,,
1620|2003|Writing (Original Screenplay)|0|Dirty Pretty Things |Written by Steven Knight,,,,,,,,,,,
1621|2013|Documentary (Feature)|0|Dirty Wars |Richard Rowley and Jeremy Scahill,,,,,,,,,,,
1622|2009|Best Picture|0|District 9 |Peter Jackson and Carolynne Cunningham, Producers,,,,,,,,,,
1623|2009|Film Editing|0|District 9 |Julian Clarke,,,,,,,,,,,
1624|2009|Visual Effects|0|District 9 |Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken,,,,,,,,,
1625|2009|Writing (Adapted Screenplay)|0|District 9 |Written by Neill Blomkamp and Terri Tatchell,,,,,,,,,,,
1626|2000|Foreign Language Film|0|Divided We Fall |Czech Republic,,,,,,,,,,,
1627|1967|Writing (Story and Screenplay, Written Directly for the Screen)|0|Divorce American Style |Story by Robert Kaufman; Screenplay by Norman Lear,,,,,,,,,,
1628|1962|Actor|0|Divorce--Italian Style|Marcello Mastroianni,,,,,,,,,,,
1629|1962|Directing|0|Divorce--Italian Style |Pietro Germi,,,,,,,,,,,
1630|1962|Writing (Story and Screenplay, Written Directly for the Screen)|1|Divorce--Italian Style |Ennio de Concini, Alfredo Giannetti, Pietro Germi,,,,,,,,
1631|2012|Actor in a Supporting Role|1|Django Unchained|Christoph Waltz,,,,,,,,,,,
1632|2012|Best Picture|0|Django Unchained |Stacey Sher, Reginald Hudlin and Pilar Savone, Producers,,,,,,,,,
1633|2012|Cinematography|0|Django Unchained |Robert Richardson,,,,,,,,,,,
1634|2012|Sound Editing|0|Django Unchained |Wylie Stateman,,,,,,,,,,,
1635|2012|Writing (Original Screenplay)|1|Django Unchained |Written by Quentin Tarantino,,,,,,,,,,,
1636|1989|Actor in a Supporting Role|0|Do the Right Thing|Danny Aiello,,,,,,,,,,,
1637|1989|Writing (Screenplay Written Directly for the Screen)|0|Do the Right Thing |Spike Lee,,,,,,,,,,,
1638|1984|Short Film (Animated)|0|Doctor De Soto |Morton Schindel and Michael Sporn, Producers,,,,,,,,,,
1639|1967|Art Direction|0|Doctor Dolittle |Art Direction: Mario Chiari, Jack Martin Smith, Ed Graves; Set Decoration: Walter M. Scott, Stuart A. Reiss,,,,,,,,
1640|1967|Best Picture|0|Doctor Dolittle |Arthur P. Jacobs, Producer,,,,,,,,,,
1641|1967|Cinematography|0|Doctor Dolittle |Robert Surtees,,,,,,,,,,,
1642|1967|Film Editing|0|Doctor Dolittle |Samuel E. Beetley, Marjorie Fowler,,,,,,,,,,
1643|1967|Music (Original Music Score)|0|Doctor Dolittle |Leslie Bricusse,,,,,,,,,,,
1644|1967|Music (Scoring of Music, Adaptation or Treatment)|0|Doctor Dolittle |Lionel Newman, Alexander Courage,,,,,,,,,
1645|1967|Sound|0|Doctor Dolittle |20th Century-Fox Studio Sound Department,,,,,,,,,,,
1646|1967|Special Visual Effects|1|Doctor Dolittle |L. B. Abbott,,,,,,,,,,,
1647|1965|Actor in a Supporting Role|0|Doctor Zhivago|Tom Courtenay,,,,,,,,,,,
1648|1965|Art Direction (Color)|1|Doctor Zhivago |Art Direction: John Box, Terry Marsh; Set Decoration: Dario Simoni,,,,,,,,,,
1649|1965|Best Picture|0|Doctor Zhivago |Carlo Ponti, Producer,,,,,,,,,,
1650|1965|Cinematography (Color)|1|Doctor Zhivago |Freddie Young,,,,,,,,,,,
1651|1965|Costume Design (Color)|1|Doctor Zhivago |Phyllis Dalton,,,,,,,,,,,
1652|1965|Directing|0|Doctor Zhivago |David Lean,,,,,,,,,,,
1653|1965|Film Editing|0|Doctor Zhivago |Norman Savage,,,,,,,,,,,
1654|1965|Music (Music Score, Substantially Original)|1|Doctor Zhivago |Maurice Jarre,,,,,,,,,,
1655|1965|Sound|0|Doctor Zhivago |Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director,,,,,,,
1656|1965|Writing (Screenplay, Based on Material from Another Medium)|1|Doctor Zhivago |Robert Bolt,,,,,,,,,,
1657|1971|Foreign Language Film|0|Dodes'ka-Den |Japan,,,,,,,,,,,
1658|1975|Actor|0|Dog Day Afternoon|Al Pacino,,,,,,,,,,,
1659|1975|Actor in a Supporting Role|0|Dog Day Afternoon|Chris Sarandon,,,,,,,,,,,
1660|1975|Best Picture|0|Dog Day Afternoon |Martin Bregman and Martin Elfand, Producers,,,,,,,,,,
1661|1975|Directing|0|Dog Day Afternoon |Sidney Lumet,,,,,,,,,,,
1662|1975|Film Editing|0|Dog Day Afternoon |Dede Allen,,,,,,,,,,,
1663|1975|Writing (Original Screenplay)|1|Dog Day Afternoon |Frank Pierson,,,,,,,,,,,
1664|2010|Foreign Language Film|0|Dogtooth |Greece,,,,,,,,,,,
1665|1991|Documentary (Feature)|0|Doing Time: Life inside the Big House |Alan Raymond and Susan Raymond, Producers,,,,,,,,,,
1666|2000|Documentary (Short Subject)|0|Dolphins |Greg MacGillivray, Alec Lorimore,,,,,,,,,,
1667|2005|John A. Bonner Medal of Commendation|1|Don Hall|,,,,,,,,,,,
1668|1997|Gordon E. Sawyer Award|1|Don Iwerks|,,,,,,,,,,,
1669|1990|Medal of Commendation|1|Don Trumbull|,,,,,,,,,,,
1670|1974|Documentary (Short Subject)|1|Don't |Robin Lehman, Producer,,,,,,,,,,
1671|1980|Documentary (Short Subject)|0|Don't Mess with Bill |John Watson and Pen Densham, Producers,,,,,,,,,,
1672|2005|Foreign Language Film|0|Don't Tell |Italy,,,,,,,,,,,
1673|1995|Gordon E. Sawyer Award|1|Donald C. Rogers|,,,,,,,,,,,
1674|1959|Documentary (Short Subject)|0|Donald in Mathmagic Land |Walt Disney, Producer,,,,,,,,,,
1675|1997|Writing (Screenplay Based on Material Previously Produced or Published)|0|Donnie Brasco |Paul Attanasio,,,,,,,,,,,
1676|1984|Foreign Language Film|0|Double Feature |Spain,,,,,,,,,,,
1677|1975|Short Film (Live Action)|0|Doubletalk |Alan Beattie, Producer,,,,,,,,,,
1678|2008|Actor in a Supporting Role|0|Doubt|Philip Seymour Hoffman,,,,,,,,,,,
1679|2008|Actress in a Leading Role|0|Doubt|Meryl Streep,,,,,,,,,,,
1680|2008|Actress in a Supporting Role|0|Doubt|Amy Adams,,,,,,,,,,,
1681|2008|Actress in a Supporting Role|0|Doubt|Viola Davis,,,,,,,,,,,
1682|2008|Writing (Adapted Screenplay)|0|Doubt |Written by John Patrick Shanley,,,,,,,,,,,
1683|2003|John A. Bonner Medal of Commendation|1|Douglas Greenfield|,,,,,,,,,,,
1684|2011|Gordon E. Sawyer Award|1|Douglas Trumbull|,,,,,,,,,,,
1685|1986|Documentary (Feature)|1|Down and Out in America |Joseph Feury and Milton Justice, Producers,,,,,,,,,,
1686|1993|Short Film (Live Action)|0|Down on the Waterfront |Stacy Title, Jonathan Penner,,,,,,,,,,
1687|2004|Foreign Language Film|0|Downfall |Germany,,,,,,,,,,,
1688|1983|Gordon E. Sawyer Award|1|Dr. John G. Frayne|,,,,,,,,,,,
1689|1975|Jean Hersholt Humanitarian Award|1|Dr. Jules C. Stein|,,,,,,,,,,,
1690|2000|Art Direction|0|Dr. Seuss' How the Grinch Stole Christmas |Art Direction: Michael Corenblith; Set Decoration: Merideth Boswell,,,,,,,,,,,
1691|2000|Costume Design|0|Dr. Seuss' How the Grinch Stole Christmas |Rita Ryack,,,,,,,,,,,
1692|2000|Makeup|1|Dr. Seuss' How the Grinch Stole Christmas |Rick Baker, Gail Ryan,,,,,,,,,,
1693|1964|Actor|0|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|Peter Sellers,,,,,,,,,,,
1694|1964|Best Picture|0|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb |Stanley Kubrick, Producer,,,,,,,,,,
1695|1964|Directing|0|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb |Stanley Kubrick,,,,,,,,,,,
1696|1964|Writing (Screenplay, Based on Material from Another Medium)|0|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb |Stanley Kubrick, Peter George, Terry Southern,,,,,,,,
1697|1996|Visual Effects|0|Dragonheart |Scott Squires, Phil Tippett, James Straus, Kit West,,,,,,,,
1698|1981|Music (Original Score)|0|Dragonslayer |Alex North,,,,,,,,,,,
1699|1981|Visual Effects|0|Dragonslayer |Dennis Muren, Phil Tippett, Ken Ralston, Brian Johnson,,,,,,,,
1700|1979|Short Film (Animated)|0|Dream Doll |Bob Godfrey and Zlatko Grgic, Producers,,,,,,,,,,
1701|1953|Costume Design (Black and White)|0|Dream Wife |Helen Rose, Herschel McCoy,,,,,,,,,,
1702|2006|Actor in a Supporting Role|0|Dreamgirls|Eddie Murphy,,,,,,,,,,,
1703|2006|Actress in a Supporting Role|1|Dreamgirls|Jennifer Hudson,,,,,,,,,,,
1704|2006|Art Direction|0|Dreamgirls |Art Direction: John Myhre; Set Decoration: Nancy Haigh,,,,,,,,,,,
1705|2006|Costume Design|0|Dreamgirls |Sharen Davis,,,,,,,,,,,
1706|2006|Sound Mixing|1|Dreamgirls |Michael Minkler, Bob Beemer and Willie Burton,,,,,,,,,,
1707|2011|Sound Editing|0|Drive |Lon Bender and Victor Ray Ennis,,,,,,,,,,,
1708|1989|Actor in a Leading Role|0|Driving Miss Daisy|Morgan Freeman,,,,,,,,,,,
1709|1989|Actor in a Supporting Role|0|Driving Miss Daisy|Dan Aykroyd,,,,,,,,,,,
1710|1989|Actress in a Leading Role|1|Driving Miss Daisy|Jessica Tandy,,,,,,,,,,,
1711|1989|Art Direction|0|Driving Miss Daisy |Art Direction: Bruno Rubeo; Set Decoration: Crispian Sallis,,,,,,,,,,,
1712|1989|Best Picture|1|Driving Miss Daisy |Richard D. Zanuck and Lili Fini Zanuck, Producers,,,,,,,,,,
1713|1989|Costume Design|0|Driving Miss Daisy |Elizabeth McBride,,,,,,,,,,,
1714|1989|Film Editing|0|Driving Miss Daisy |Mark Warner,,,,,,,,,,,
1715|1989|Makeup|1|Driving Miss Daisy |Manlio Rocchetti, Lynn Barber, Kevin Haney,,,,,,,,,
1716|1989|Writing (Screenplay Based on Material from Another Medium)|1|Driving Miss Daisy |Alfred Uhry,,,,,,,,,,,
1717|1995|Short Film (Live Action)|0|Duke of Groove |Griffin Dunne, Thom Colwell,,,,,,,,,,
1718|1984|Sound|0|Dune |Bill Varney, Steve Maslow, Kevin O'Connell, Nelson Stoll,,,,,,,,
1719|1968|Short Subject (Live Action)|0|Duo |National Film Board of Canada,,,,,,,,,,,
1720|1995|Foreign Language Film|0|Dust of Life |Algeria,,,,,,,,,,,
1721|1962|Documentary (Short Subject)|1|Dylan Thomas |Jack Howells, Producer,,,,,,,,,,
1722|1986|Medal of Commendation|1|E. M. (Al) Lewis|,,,,,,,,,,,
1723|1982|Best Picture|0|E.T. The Extra-Terrestrial |Steven Spielberg and Kathleen Kennedy, Producers,,,,,,,,,,
1724|1982|Cinematography|0|E.T. The Extra-Terrestrial |Allen Daviau,,,,,,,,,,,
1725|1982|Directing|0|E.T. The Extra-Terrestrial |Steven Spielberg,,,,,,,,,,,
1726|1982|Film Editing|0|E.T. The Extra-Terrestrial |Carol Littleton,,,,,,,,,,,
1727|1982|Music (Original Score)|1|E.T. The Extra-Terrestrial |John Williams,,,,,,,,,,,
1728|1982|Sound|1|E.T. The Extra-Terrestrial |Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa,,,,,,,,
1729|1982|Sound Effects Editing|1|E.T. The Extra-Terrestrial |Charles L. Campbell, Ben Burtt,,,,,,,,,,
1730|1982|Visual Effects|1|E.T. The Extra-Terrestrial |Carlo Rambaldi, Dennis Muren, Kenneth F. Smith,,,,,,,,,
1731|1982|Writing (Screenplay Written Directly for the Screen)|0|E.T. The Extra-Terrestrial |Melissa Mathison,,,,,,,,,,,
1732|1974|Art Direction|0|Earthquake |Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Frank McKelvy,,,,,,,,,,
1733|1974|Cinematography|0|Earthquake |Philip Lathrop,,,,,,,,,,,
1734|1974|Film Editing|0|Earthquake |Dorothy Spencer,,,,,,,,,,,
1735|1974|Sound|1|Earthquake |Ronald Pierce, Melvin Metcalfe, Sr.,,,,,,,,,
1736|1974|Special Achievement Award (Visual Effects)|1|Earthquake |Frank Brendel, Glen Robinson, Albert Whitlock,,,,,,,,,
1737|1955|Actor|0|East of Eden|James Dean,,,,,,,,,,,
1738|1955|Actress in a Supporting Role|1|East of Eden|Jo Van Fleet,,,,,,,,,,,
1739|1955|Directing|0|East of Eden |Elia Kazan,,,,,,,,,,,
1740|1955|Writing (Screenplay)|0|East of Eden |Paul Osborn,,,,,,,,,,,
1741|1999|Foreign Language Film|0|East-West |France,,,,,,,,,,,
1742|2007|Actor in a Leading Role|0|Eastern Promises|Viggo Mortensen,,,,,,,,,,,
1743|1988|Honorary Award|1|Eastman Kodak Company|,,,,,,,,,,,
1744|1969|Actor in a Supporting Role|0|Easy Rider|Jack Nicholson,,,,,,,,,,,
1745|1969|Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)|0|Easy Rider |Peter Fonda, Dennis Hopper, Terry Southern,,,,,,,,
1746|1994|Foreign Language Film|0|Eat Drink Man Woman |Taiwan,,,,,,,,,,,
1747|2008|Gordon E. Sawyer Award|1|Ed Catmull|,,,,,,,,,,,
1748|1994|Actor in a Supporting Role|1|Ed Wood|Martin Landau,,,,,,,,,,,
1749|1994|Makeup|1|Ed Wood |Rick Baker, Ve Neill, Yolanda Toussieng,,,,,,,,,
1750|1956|Honorary Award|1|Eddie Cantor|,,,,,,,,,,,
1751|1965|Jean Hersholt Humanitarian Award|1|Edmond L. DePatie|,,,,,,,,,,,
1752|2001|Gordon E. Sawyer Award|1|Edmund M. Di Giulio|,,,,,,,,,,,
1753|1999|John A. Bonner Medal of Commendation|1|Edmund M. Di Giulio|,,,,,,,,,,,
1754|1992|Documentary (Short Subject)|1|Educating Peter |Thomas C. Goodwin and Gerardine Wurzburg, Producers,,,,,,,,,,
1755|1983|Actor in a Leading Role|0|Educating Rita|Michael Caine,,,,,,,,,,,
1756|1983|Actress in a Leading Role|0|Educating Rita|Julie Walters,,,,,,,,,,,
1757|1983|Writing (Screenplay Based on Material from Another Medium)|0|Educating Rita |Willy Russell,,,,,,,,,,,
1758|1972|Honorary Award|1|Edward G. Robinson|,,,,,,,,,,,
1759|1990|Makeup|0|Edward Scissorhands |Ve Neill, Stan Winston,,,,,,,,,,
1760|1981|Documentary (Feature)|0|Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott |Mary Benjamin, Susanne Simpson and Boyd Estus, Producers,,,,,,,,,
1761|1967|Foreign Language Film|0|El Amor Brujo |Spain,,,,,,,,,,,
1762|1961|Art Direction (Color)|0|El Cid |Art Direction: Veniero Colasanti, John Moore,,,,,,,,,,
1763|1961|Music (Music Score of a Dramatic or Comedy Picture)|0|El Cid |Miklos Rozsa,,,,,,,,,,,
1764|2002|Foreign Language Film|0|El Crimen del Padre Amaro |Mexico,,,,,,,,,,,
1765|1984|Writing (Screenplay Written Directly for the Screen)|0|El Norte |Gregory Nava, Anna Thomas,,,,,,,,,,
1766|1981|Documentary (Feature)|0|El Salvador: Another Vietnam |Glenn Silber and Tete Vasconcellos, Producers,,,,,,,,,,
1767|1999|Writing (Screenplay Based on Material Previously Produced or Published)|0|Election |Alexander Payne, Jim Taylor,,,,,,,,,,
1768|1998|Short Film (Live Action)|1|Election Night (Valgaften) |Kim Magnusson, Anders Thomas Jensen,,,,,,,,,,
1769|1962|Foreign Language Film|0|Electra |Greece,,,,,,,,,,,
1770|2010|Honorary Award|1|Eli Wallach|,,,,,,,,,,,
1771|1998|Honorary Award|1|Elia Kazan|,,,,,,,,,,,
1772|1998|Actress in a Leading Role|0|Elizabeth|Cate Blanchett,,,,,,,,,,,
1773|1998|Art Direction|0|Elizabeth |Art Direction: John Myhre; Set Decoration: Peter Howitt,,,,,,,,,,,
1774|1998|Best Picture|0|Elizabeth |Alison Owen, Eric Fellner and Tim Bevan, Producers,,,,,,,,,
1775|1998|Cinematography|0|Elizabeth |Remi Adefarasin,,,,,,,,,,,
1776|1998|Costume Design|0|Elizabeth |Alexandra Byrne,,,,,,,,,,,
1777|1998|Makeup|1|Elizabeth |Jenny Shircore,,,,,,,,,,,
1778|1998|Music (Original Dramatic Score)|0|Elizabeth |David Hirschfelder,,,,,,,,,,,
1779|1992|Jean Hersholt Humanitarian Award|1|Elizabeth Taylor|,,,,,,,,,,,
1780|2007|Actress in a Leading Role|0|Elizabeth: The Golden Age|Cate Blanchett,,,,,,,,,,,
1781|2007|Costume Design|1|Elizabeth: The Golden Age |Alexandra Byrne,,,,,,,,,,,
1782|2001|Foreign Language Film|0|Elling |Norway,,,,,,,,,,,
1783|1960|Actor|1|Elmer Gantry|Burt Lancaster,,,,,,,,,,,
1784|1960|Actress in a Supporting Role|1|Elmer Gantry|Shirley Jones,,,,,,,,,,,
1785|1960|Best Motion Picture|0|Elmer Gantry |Bernard Smith, Producer,,,,,,,,,,
1786|1960|Music (Music Score of a Dramatic or Comedy Picture)|0|Elmer Gantry |Andre Previn,,,,,,,,,,,
1787|1960|Writing (Screenplay, Based on Material from Another Medium)|1|Elmer Gantry |Richard Brooks,,,,,,,,,,
1788|2015|Foreign Language Film|0|Embrace of the Serpent|Colombia,,,,,,,,,,,
1789|1996|Costume Design|0|Emma |Ruth Myers,,,,,,,,,,,
1790|1996|Music (Original Musical or Comedy Score)|1|Emma |Rachel Portman,,,,,,,,,,,
1791|1987|Art Direction|0|Empire of the Sun |Art Direction: Norman Reynolds; Set Decoration: Harry Cordwell,,,,,,,,,,,
1792|1987|Cinematography|0|Empire of the Sun |Allen Daviau,,,,,,,,,,,
1793|1987|Costume Design|0|Empire of the Sun |Bob Ringwood,,,,,,,,,,,
1794|1987|Film Editing|0|Empire of the Sun |Michael Kahn,,,,,,,,,,,
1795|1987|Music (Original Score)|0|Empire of the Sun |John Williams,,,,,,,,,,,
1796|1987|Sound|0|Empire of the Sun |Robert Knudson, Don Digirolamo, John Boyd, Tony Dawe,,,,,,,,
1797|1958|Documentary (Short Subject)|0|Employees Only |Kenneth G. Brown, Producer,,,,,,,,,,
1798|1992|Actress in a Supporting Role|0|Enchanted April|Joan Plowright,,,,,,,,,,,
1799|1992|Costume Design|0|Enchanted April |Sheena Napier,,,,,,,,,,,
1800|1992|Writing (Screenplay Based on Material Previously Produced or Published)|0|Enchanted April |Peter Barnes,,,,,,,,,,,
1801|2008|Documentary (Feature)|0|Encounters at the End of the World |Werner Herzog and Henry Kaiser,,,,,,,,,,,
1802|1989|Actress in a Supporting Role|0|Enemies, A Love Story|Anjelica Huston,,,,,,,,,,
1803|1989|Actress in a Supporting Role|0|Enemies, A Love Story|Lena Olin,,,,,,,,,,
1804|1989|Writing (Screenplay Based on Material from Another Medium)|0|Enemies, A Love Story |Roger L. Simon, Paul Mazursky,,,,,,,,,
1805|2006|Honorary Award|1|Ennio Morricone|,,,,,,,,,,,
1806|2005|Documentary (Feature)|0|Enron: The Smartest Guys in the Room |Alex Gibney and Jason Kliot,,,,,,,,,,,
1807|1983|Foreign Language Film|0|Entre Nous |France,,,,,,,,,,,
1808|1977|Actor in a Leading Role|0|Equus|Richard Burton,,,,,,,,,,,
1809|1977|Actor in a Supporting Role|0|Equus|Peter Firth,,,,,,,,,,,
1810|1977|Writing (Screenplay, Based on Material from Another Medium)|0|Equus |Peter Shaffer,,,,,,,,,,
1811|1996|Sound Effects Editing|0|Eraser |Alan Robert Murray, Bub Asman,,,,,,,,,,
1812|1992|Gordon E. Sawyer Award|1|Erich Kaestner|,,,,,,,,,,,
1813|2000|Actor in a Supporting Role|0|Erin Brockovich|Albert Finney,,,,,,,,,,,
1814|2000|Actress in a Leading Role|1|Erin Brockovich|Julia Roberts,,,,,,,,,,,
1815|2000|Best Picture|0|Erin Brockovich |Danny DeVito, Michael Shamberg and Stacey Sher, Producers,,,,,,,,,
1816|2000|Directing|0|Erin Brockovich |Steven Soderbergh,,,,,,,,,,,
1817|2000|Writing (Screenplay Written Directly for the Screen)|0|Erin Brockovich |Written by Susannah Grant,,,,,,,,,,,
1818|2013|Animated Feature Film|0|Ernest & Celestine |Benjamin Renner and Didier Brunner,,,,,,,,,,,
1819|2000|Honorary Award|1|Ernest Lehman|,,,,,,,,,,,
1820|1996|Short Film (Live Action)|0|Ernst & Lyset |Kim Magnusson, Anders Thomas Jensen,,,,,,,,,,
1821|1961|Short Subject (Cartoon)|1|Ersatz (The Substitute) |Zagreb Film,,,,,,,,,,,
1822|1996|Short Film (Live Action)|0|Esposados |Juan Carlos Fresnadillo,,,,,,,,,,,
1823|2004|Actress in a Leading Role|0|Eternal Sunshine of the Spotless Mind|Kate Winslet,,,,,,,,,,,
1824|2004|Writing (Original Screenplay)|1|Eternal Sunshine of the Spotless Mind |Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth,,,,,,,,,,,
1825|1991|Writing (Screenplay Based on Material Previously Produced or Published)|0|Europa Europa |Agnieszka Holland,,,,,,,,,,,
1826|1979|Short Film (Animated)|1|Every Child |Derek Lamb, Producer,,,,,,,,,,
1827|2000|Foreign Language Film|0|Everybody Famous! |Belgium,,,,,,,,,,,
1828|2004|Short Film (Live Action)|0|Everything in This Country Must |Gary McKendry,,,,,,,,,,,
1829|2015|Short Film (Live Action)|0|Everything Will Be Okay (Alles Wird Gut)|Patrick Vollrath,,,,,,,,,,,
1830|2003|Foreign Language Film|0|Evil |Sweden,,,,,,,,,,,
1831|1996|Art Direction|0|Evita |Art Direction: Brian Morris; Set Decoration: Philippe Turlure,,,,,,,,,,,
1832|1996|Cinematography|0|Evita |Darius Khondji,,,,,,,,,,,
1833|1996|Film Editing|0|Evita |Gerry Hambling,,,,,,,,,,,
1834|1996|Sound|0|Evita |Andy Nelson, Anna Behlmer, Ken Weston,,,,,,,,,
1835|1971|Short Subject (Animated)|0|Evolution |Michael Mills, Producer,,,,,,,,,,
1836|2015|Visual Effects|1|Ex Machina|Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett,,,,,,,,,
1837|2015|Writing (Original Screenplay)|0|Ex Machina|Written by Alex Garland,,,,,,,,,,,
1838|1981|Cinematography|0|Excalibur |Alex Thomson,,,,,,,,,,,
1839|1954|Actress in a Supporting Role|0|Executive Suite|Nina Foch,,,,,,,,,,,
1840|1954|Art Direction (Black and White)|0|Executive Suite |Art Direction: Cedric Gibbons, Edward Carfagno; Set Decoration: Edwin B. Willis, Emile Kuri,,,,,,,,,
1841|1954|Cinematography (Black and White)|0|Executive Suite |George Folsey,,,,,,,,,,,
1842|1954|Costume Design (Black and White)|0|Executive Suite |Helen Rose,,,,,,,,,,,
1843|1986|Short Film (Live Action)|0|Exit |Stefano Reali and Pino Quartullo, Producers,,,,,,,,,,
1844|2010|Documentary (Feature)|0|Exit through the Gift Shop |Banksy and Jaimie D'Cruz,,,,,,,,,,,
1845|1960|Actor in a Supporting Role|0|Exodus|Sal Mineo,,,,,,,,,,,
1846|1960|Cinematography (Color)|0|Exodus |Sam Leavitt,,,,,,,,,,,
1847|1960|Music (Music Score of a Dramatic or Comedy Picture)|1|Exodus |Ernest Gold,,,,,,,,,,,
1848|1974|Documentary (Short Subject)|0|Exploratorium |Jon Boorstin, Producer,,,,,,,,,,
1849|2011|Actor in a Supporting Role|0|Extremely Loud & Incredibly Close|Max von Sydow,,,,,,,,,,,
1850|2011|Best Picture|0|Extremely Loud & Incredibly Close |Scott Rudin, Producer,,,,,,,,,,
1851|1987|Documentary (Feature)|0|Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965 |Callie Crossley and James A. DeVinney, Producers,,,,,,,,,,
1852|1999|Documentary (Short Subject)|0|Eyewitness |Bert Van Bork,,,,,,,,,,,
1853|1976|Actress in a Leading Role|0|Face to Face|Liv Ullmann,,,,,,,,,,,
1854|1976|Directing|0|Face to Face |Ingmar Bergman,,,,,,,,,,,
1855|1997|Sound Effects Editing|0|Face/Off |Mark P. Stoeckinger, Per Hallberg,,,,,,,,,,
1856|1968|Actor in a Supporting Role|0|Faces|Seymour Cassel,,,,,,,,,,,
1857|1968|Actress in a Supporting Role|0|Faces|Lynn Carlin,,,,,,,,,,,
1858|1968|Writing (Story and Screenplay, Written Directly for the Screen)|0|Faces |John Cassavetes,,,,,,,,,,
1859|2013|Documentary (Short Subject)|0|Facing Fear |Jason Cohen,,,,,,,,,,,
1860|2002|Short Film (Live Action)|0|Fait D'Hiver |Dirk Beli?´n, Anja Daelemans,,,,,,,,,,
1861|1980|Short Film (Dramatic Live Action)|0|Fall Line |Bob Carmichael and Greg Lowe, Producers,,,,,,,,,,
1862|1980|Film Editing|0|Fame |Gerry Hambling,,,,,,,,,,,
1863|1980|Music (Original Score)|1|Fame |Michael Gore,,,,,,,,,,,
1864|1980|Sound|0|Fame |Michael J. Kohut, Aaron Rochin, Jay M. Harding, Chris Newman,,,,,,,,
1865|1980|Writing (Screenplay Written Directly for the Screen)|0|Fame |Christopher Gore,,,,,,,,,,,
1866|1988|Documentary (Short Subject)|0|Family Gathering |Lise Yasui and Ann Tegnell, Producers,,,,,,,,,,
1867|1997|Short Film (Animated)|0|Famous Fred |Joanna Quinn,,,,,,,,,,,
1868|1961|Actor|0|Fanny|Charles Boyer,,,,,,,,,,,
